,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
326,0001193125-17-181871,2017-05-24,,2017-05-24T17:21:56.000Z,34,8-A12B,001-36743,17867595,,17147,0,0,d375104d8a12b.htm,FORM 8-A12B
327,0001193125-17-181867,2017-05-24,2017-05-17,2017-05-24T17:19:03.000Z,34,8-K,001-36743,17867578,"8.01,9.01",309745,0,0,d583637d8k.htm,FORM 8-K
328,0001628280-17-005698,2017-05-18,2017-05-16,2017-05-18T18:30:31.000Z,,4,,,,6490,0,0,xslF345X03/wf-form4_149514661622011.xml,FORM 4
329,0001193125-17-175330,2017-05-18,,2017-05-18T16:42:23.000Z,33,424B2,333-210983,17855370,,469421,0,0,d394059d424b2.htm,FILED PURSUANT TO RULE 424(B)2
330,0001193125-17-173678,2017-05-17,,2017-05-17T16:58:02.000Z,34,FWP,333-210983,17852308,,30200,0,0,d400069dfwp.htm,FREE WRITING PROSPECTUS
331,0001193125-17-172693,2017-05-17,,2017-05-17T06:09:34.000Z,33,424B2,333-210983,17850239,,462655,0,0,d394059d424b2.htm,FILED PURSUANT TO RULE 424(B)2
332,0001628280-17-005434,2017-05-11,2017-05-09,2017-05-11T18:31:36.000Z,,4,,,,9010,0,0,xslF345X03/wf-form4_149454187969662.xml,FORM 4
333,0001628280-17-005433,2017-05-11,2017-05-09,2017-05-11T18:30:34.000Z,,4,,,,8350,0,0,xslF345X03/wf-form4_149454181720231.xml,FORM 4
334,0001193125-17-167400,2017-05-11,2017-05-04,2017-05-11T16:56:33.000Z,34,8-K,001-36743,17835158,"8.01,9.01",514921,0,0,d388721d8k.htm,FORM 8-K
335,0001628280-17-005184,2017-05-08,2017-05-05,2017-05-08T18:34:28.000Z,,4,,,,4901,0,0,xslF345X03/wf-form4_149428284856190.xml,FORM 4
336,0001628280-17-005183,2017-05-08,2017-05-04,2017-05-08T18:33:26.000Z,,4,,,,12530,0,0,xslF345X03/wf-form4_149428279147354.xml,FORM 4
337,0001193125-17-160948,2017-05-05,,2017-05-05T16:54:23.000Z,33,424B2,333-210983,17819168,,460955,0,0,d352568d424b2.htm,FILED PURSUANT TO RULE 424B2
338,0001193125-17-159397,2017-05-05,,2017-05-05T06:02:05.000Z,34,SD,001-36743,17816013,,835843,0,0,d383904dsd.htm,FORM SD
339,0001193125-17-159324,2017-05-05,,2017-05-04T20:57:33.000Z,34,FWP,333-210983,17815909,,54793,0,0,d392409dfwp.htm,FREE WRITING PROSPECTUS
340,0001193125-17-157385,2017-05-04,,2017-05-04T08:11:04.000Z,33,424B2,333-210983,17811979,,428410,0,0,d352568d424b2.htm,FILED PURSUANT TO RULE 424B2
341,0001628280-17-004826,2017-05-03,2017-05-01,2017-05-03T18:30:28.000Z,,4,,,,12952,0,0,xslF345X03/wf-form4_149385061401123.xml,FORM 4
342,0001628280-17-004790,2017-05-03,2017-04-01,2017-05-03T16:32:23.000Z,34,10-Q,001-36743,17809653,,9684229,1,0,a10-qq22017412017.htm,10-Q
343,0001628280-17-004663,2017-05-02,2017-05-02,2017-05-02T16:31:37.000Z,34,8-K,001-36743,17805508,"2.02,9.01",430016,0,0,a8-kq22017412017.htm,8-K
344,0001628280-17-004167,2017-04-21,2017-04-19,2017-04-21T18:30:43.000Z,,4,,,,8785,0,0,xslF345X03/wf-form4_149281382808641.xml,FORM 4
345,0001628280-17-003836,2017-04-18,2017-04-15,2017-04-18T18:32:37.000Z,,4,,,,16038,0,0,xslF345X03/wf-form4_149255474371079.xml,FORM 4
346,0001628280-17-003835,2017-04-18,2017-04-15,2017-04-18T18:31:51.000Z,,4,,,,8619,0,0,xslF345X03/wf-form4_149255469662391.xml,FORM 4
347,0001628280-17-003834,2017-04-18,2017-04-15,2017-04-18T18:31:16.000Z,,4,,,,15684,0,0,xslF345X03/wf-form4_149255466078682.xml,FORM 4
348,0001628280-17-003444,2017-04-07,2017-04-06,2017-04-07T18:31:06.000Z,,4,,,,5083,0,0,xslF345X03/wf-form4_149160425159023.xml,FORM 4
349,0001628280-17-003442,2017-04-07,2017-04-05,2017-04-07T18:30:03.000Z,,4,,,,6932,0,0,xslF345X03/wf-form4_149160418901921.xml,FORM 4
350,0001628280-17-003348,2017-04-04,2017-04-01,2017-04-04T18:36:15.000Z,,4,,,,11329,0,0,xslF345X03/wf-form4_149134536071696.xml,FORM 4
351,0001628280-17-003347,2017-04-04,2017-04-01,2017-04-04T18:35:17.000Z,,4,,,,10987,0,0,xslF345X03/wf-form4_149134530319074.xml,FORM 4
352,0001628280-17-003346,2017-04-04,2017-04-01,2017-04-04T18:34:33.000Z,,4,,,,16030,0,0,xslF345X03/wf-form4_149134525842641.xml,FORM 4
353,0001628280-17-003345,2017-04-04,2017-04-01,2017-04-04T18:33:52.000Z,,4,,,,10980,0,0,xslF345X03/wf-form4_149134521223893.xml,FORM 4
354,0001628280-17-003344,2017-04-04,2017-04-01,2017-04-04T18:33:03.000Z,,4,,,,8617,0,0,xslF345X03/wf-form4_149134516911399.xml,FORM 4
355,0001628280-17-003343,2017-04-04,2017-04-01,2017-04-04T18:32:22.000Z,,4,,,,10864,0,0,xslF345X03/wf-form4_149134512828053.xml,FORM 4
356,0001628280-17-003342,2017-04-04,2017-04-01,2017-04-04T18:31:32.000Z,,4,,,,14367,0,0,xslF345X03/wf-form4_149134507719548.xml,FORM 4
357,0001628280-17-003341,2017-04-04,2017-04-01,2017-04-04T18:30:50.000Z,,4,,,,10095,0,0,xslF345X03/wf-form4_149134503634309.xml,FORM 4
358,0001628280-17-002692,2017-03-17,2017-03-15,2017-03-17T18:32:17.000Z,,4,,,,5073,0,0,xslF345X03/wf-form4_148978992085921.xml,FORM 4
359,0001628280-17-002321,2017-03-07,2017-03-04,2017-03-07T18:31:02.000Z,,4,,,,8908,0,0,xslF345X03/wf-form4_148892944611903.xml,FORM 4
360,0001193125-17-069853,2017-03-03,2017-02-14,2017-03-03T16:36:03.000Z,34,8-K,001-36743,17664239,"8.01,9.01",234543,0,0,d348450d8k.htm,FORM 8-K
361,0001628280-17-002133,2017-03-02,2017-02-28,2017-03-02T18:37:24.000Z,,4,,,,5612,0,0,xslF345X03/wf-form4_148849782926375.xml,FORM 4
362,0001628280-17-002132,2017-03-02,2017-02-28,2017-03-02T18:36:37.000Z,,4,,,,5615,0,0,xslF345X03/wf-form4_148849778342702.xml,FORM 4
363,0001628280-17-002131,2017-03-02,2017-02-28,2017-03-02T18:35:50.000Z,,4,,,,5638,0,0,xslF345X03/wf-form4_148849773387621.xml,FORM 4
364,0001628280-17-002130,2017-03-02,2017-02-28,2017-03-02T18:35:01.000Z,,4,,,,5624,0,0,xslF345X03/wf-form4_148849768695204.xml,FORM 4
365,0001628280-17-002129,2017-03-02,2017-02-28,2017-03-02T18:34:10.000Z,,4,,,,5624,0,0,xslF345X03/wf-form4_148849763661980.xml,FORM 4
366,0001628280-17-002128,2017-03-02,2017-02-28,2017-03-02T18:33:20.000Z,,4,,,,5611,0,0,xslF345X03/wf-form4_148849757720861.xml,FORM 4
367,0001628280-17-002127,2017-03-02,2017-02-28,2017-03-02T18:32:06.000Z,,4,,,,5621,0,0,xslF345X03/wf-form4_148849751248265.xml,FORM 4
368,0001193125-17-064019,2017-03-01,2017-02-28,2017-03-01T09:00:56.000Z,34,8-K,001-36743,17651574,5.07,49026,0,0,d342218d8k.htm,FORM 8-K
369,0001628280-17-001737,2017-02-24,2017-02-22,2017-02-24T18:30:39.000Z,,4,,,,4900,0,0,xslF345X03/wf-form4_148797902641007.xml,FORM 4
370,0001628280-17-001593,2017-02-22,2017-02-17,2017-02-22T18:32:17.000Z,,4,,,,9915,0,0,xslF345X03/wf-form4_148780632402345.xml,FORM 4
371,0001628280-17-001484,2017-02-17,2017-02-15,2017-02-17T18:31:16.000Z,,4,,,,8707,0,0,xslF345X03/wf-form4_148737426278716.xml,FORM 4
372,0001628280-17-001483,2017-02-17,2017-02-16,2017-02-17T18:30:23.000Z,,4,,,,4431,0,0,xslF345X03/wf-form4_148737420989249.xml,FORM 4
373,0001193125-17-044564,2017-02-15,,2017-02-15T08:36:31.000Z,33,424B2,333-210983,17613002,,476807,0,0,d338508d424b2.htm,FILED PURSUANT TO RULE 424B2
374,0001193125-17-042083,2017-02-14,,2017-02-14T09:09:32.000Z,34,FWP,333-210983,17602904,,13413,0,0,d296425dfwp.htm,FWP
375,0001193125-17-041233,2017-02-14,,2017-02-13T20:52:33.000Z,33,424B2,333-210983,17601961,,476785,0,0,d338508d424b2.htm,FILED PURSUANT TO RULE 424B2
376,0001193125-17-036283,2017-02-09,2017-02-02,2017-02-09T17:02:03.000Z,34,8-K,001-36743,17588362,"8.01,9.01",675606,0,0,d340350d8k.htm,FORM 8-K
377,0000932471-17-000777,2017-02-09,,2017-02-09T12:44:53.000Z,34,SC 13G/A,005-33632,17586504,,37079,0,0,appleinc.htm,
378,0001628280-17-000963,2017-02-07,2017-02-03,2017-02-07T18:30:44.000Z,,4,,,,10732,0,0,xslF345X03/wf-form4_148651023069911.xml,FORM 4
379,0001628280-17-000897,2017-02-03,2017-02-01,2017-02-03T18:37:49.000Z,,4,,,,9711,0,0,xslF345X03/wf-form4_148616505664998.xml,FORM 4
380,0001628280-17-000896,2017-02-03,2017-02-01,2017-02-03T18:37:10.000Z,,4,,,,6906,0,0,xslF345X03/wf-form4_148616501402002.xml,FORM 4
381,0001628280-17-000895,2017-02-03,2017-02-02,2017-02-03T18:36:31.000Z,,4,,,,5257,0,0,xslF345X03/wf-form4_148616497785486.xml,FORM 4
382,0001628280-17-000894,2017-02-03,2017-02-01,2017-02-03T18:35:56.000Z,,4,,,,8983,0,0,xslF345X03/wf-form4_148616494297095.xml,FORM 4
383,0001628280-17-000893,2017-02-03,2017-02-02,2017-02-03T18:35:18.000Z,,4,,,,4879,0,0,xslF345X03/wf-form4_148616490596418.xml,FORM 4
384,0001628280-17-000892,2017-02-03,2017-02-01,2017-02-03T18:34:18.000Z,,4,,,,12285,0,0,xslF345X03/wf-form4_148616484604533.xml,FORM 4
385,0001628280-17-000891,2017-02-03,2017-02-01,2017-02-03T18:33:41.000Z,,4,,,,7602,0,0,xslF345X03/wf-form4_148616480910570.xml,FORM 4
386,0001628280-17-000890,2017-02-03,2017-02-01,2017-02-03T18:33:03.000Z,,4,,,,13935,0,0,xslF345X03/wf-form4_148616477031538.xml,FORM 4
387,0001628280-17-000889,2017-02-03,2017-02-02,2017-02-03T18:32:16.000Z,,4,,,,4763,0,0,xslF345X03/wf-form4_148616472318268.xml,FORM 4
388,0001628280-17-000888,2017-02-03,2017-02-01,2017-02-03T18:31:34.000Z,,4,,,,6911,0,0,xslF345X03/wf-form4_148616468196194.xml,FORM 4
389,0001193125-17-030832,2017-02-03,,2017-02-03T17:01:15.000Z,33,424B2,333-210983,17572868,,544730,0,0,d293866d424b2.htm,FILED PURSUANT TO RULE 424B2
390,0001193125-17-029548,2017-02-03,,2017-02-02T21:53:32.000Z,34,FWP,333-210983,17570099,,96624,0,0,d264957dfwp.htm,FREE WRITING PROSPECTUS
391,0001193125-17-028315,2017-02-02,,2017-02-02T08:12:57.000Z,33,424B2,333-210983,17566778,,498771,0,0,d293866d424b2.htm,FILED PURSUANT TO RULE 424B2
392,0001628280-17-000744,2017-02-01,2017-01-30,2017-02-01T18:31:20.000Z,,4,,,,9467,0,0,xslF345X03/wf-form4_148599186687884.xml,FORM 4
393,0001628280-17-000717,2017-02-01,2016-12-31,2017-02-01T16:33:29.000Z,34,10-Q,001-36743,17565317,,8206325,1,0,a10-qq1201712312016.htm,10-Q
394,0001628280-17-000663,2017-01-31,2017-01-31,2017-01-31T16:31:02.000Z,34,8-K,001-36743,17561519,"2.02,9.01",390102,0,0,a8-kq1201712312016.htm,8-K
395,0001214659-17-000547,2017-01-31,,2017-01-31T11:12:15.000Z,34,PX14A6G,001-36743,17559872,,28862,0,0,l130173px14a6g.htm,
396,0001628280-17-000550,2017-01-27,2017-01-25,2017-01-27T18:30:55.000Z,,4,,,,7664,0,0,xslF345X03/wf-form4_148555984128421.xml,FORM 4
397,0001628280-17-000379,2017-01-24,2017-01-20,2017-01-24T18:30:37.000Z,,4,,,,7658,0,0,xslF345X03/wf-form4_148530062501951.xml,FORM 4
398,0001628280-17-000312,2017-01-19,2017-01-17,2017-01-19T18:33:14.000Z,,4,,,,7658,0,0,xslF345X03/wf-form4_148486878103532.xml,FORM 4
399,0001628280-17-000311,2017-01-19,2017-01-18,2017-01-19T18:31:39.000Z,,4,,,,5082,0,0,xslF345X03/wf-form4_148486868606685.xml,FORM 4
400,0000215457-17-001275,2017-01-19,,2017-01-19T17:24:18.000Z,34,SC 13G/A,005-33632,17536781,,13525,0,0,apple.inc.txt,
401,0001628280-17-000187,2017-01-10,2017-01-06,2017-01-10T18:30:32.000Z,,4,,,,5076,0,0,xslF345X03/wf-form4_148409101957980.xml,FORM 4
402,0001193125-17-003764,2017-01-06,,2017-01-06T08:07:02.000Z,34,DEFA14A,001-36743,17512909,,674045,0,0,d307349ddefa14a.htm,DEFINITIVE ADDITIONAL MATERIALS
403,0001193125-17-003753,2017-01-06,2017-02-28,2017-01-06T08:00:37.000Z,34,DEF 14A,001-36743,17512896,,5563572,0,0,d257185ddef14a.htm,DEFINITIVE PROXY STATEMENT
404,0001628280-16-022242,2016-12-29,2016-12-27,2016-12-29T18:30:07.000Z,,4,,,,6934,0,0,xslF345X03/wf-form4_148305419385609.xml,FORM 4
405,0001628280-16-022104,2016-12-19,2016-12-15,2016-12-19T18:30:57.000Z,,4,,,,6945,0,0,xslF345X03/wf-form4_148219024507558.xml,FORM 4
406,0001628280-16-022047,2016-12-15,2016-12-13,2016-12-15T16:54:42.000Z,34,8-K,001-36743,162054250,"5.03,9.01",248948,0,0,form8-k121316.htm,8-K
407,0001628280-16-022020,2016-12-13,2016-12-09,2016-12-13T18:30:45.000Z,,4,,,,6934,0,0,xslF345X03/wf-form4_148167182511916.xml,FORM 4
408,9999999997-17-000002,2016-12-05,2016-10-07,2017-01-03T09:49:40.000Z,34,NO ACT,001-36743,16005019,,1381,0,0,9999999997-17-000002.paper,AUTO-GENERATED PAPER DOCUMENT
409,0001628280-16-021649,2016-11-22,2016-11-18,2016-11-22T18:30:29.000Z,,4,,,,8550,0,0,xslF345X03/wf-form4_147985741566624.xml,FORM 4
410,0001628280-16-021144,2016-11-09,2016-11-07,2016-11-09T18:31:15.000Z,,4,,,,5081,0,0,xslF345X03/wf-form4_147873426182746.xml,FORM 4
411,0001628280-16-020880,2016-11-04,2016-11-02,2016-11-04T18:31:54.000Z,,4,,,,5005,0,0,xslF345X03/wf-form4_147829870020970.xml,FORM 4
412,0001628280-16-020879,2016-11-04,2016-11-03,2016-11-04T18:31:11.000Z,,4,,,,6946,0,0,xslF345X03/wf-form4_147829865841782.xml,FORM 4
413,0001628280-16-020489,2016-10-31,2016-10-27,2016-10-31T18:31:18.000Z,,4,,,,5072,0,0,xslF345X03/wf-form4_147795306588441.xml,FORM 4
414,0001628280-16-020488,2016-10-31,2016-10-27,2016-10-31T18:30:39.000Z,,4,,,,6945,0,0,xslF345X03/wf-form4_147795302659560.xml,FORM 4
415,9999999997-17-000809,2016-10-27,2016-10-07,2017-02-16T14:54:56.000Z,34,NO ACT,001-36743,20160005,,1381,0,0,9999999997-17-000809.paper,AUTO-GENERATED PAPER DOCUMENT
416,9999999997-16-026607,2016-10-26,2016-10-07,2016-11-01T15:57:00.000Z,34,NO ACT,001-36743,16005137,,1381,0,0,9999999997-16-026607.paper,AUTO-GENERATED PAPER DOCUMENT
417,0001628280-16-020309,2016-10-26,2016-09-24,2016-10-26T16:42:16.000Z,34,10-K,001-36743,161953070,,13277662,1,0,a201610-k9242016.htm,10-K
418,0001628280-16-020258,2016-10-25,2016-10-25,2016-10-25T16:32:39.000Z,34,8-K,001-36743,161950726,"2.02,9.01",430402,0,0,a8-kq420169242016.htm,8-K
419,0001628280-16-020124,2016-10-18,2016-10-14,2016-10-18T20:08:30.000Z,,4,,,,7782,0,0,xslF345X03/wf-form4_147683569837612.xml,FORM 4
420,0001628280-16-020123,2016-10-18,2016-10-14,2016-10-18T20:07:38.000Z,,4,,,,27243,0,0,xslF345X03/wf-form4_147683564629277.xml,FORM 4
421,0001628280-16-020122,2016-10-18,2016-10-14,2016-10-18T20:06:59.000Z,,4,,,,7796,0,0,xslF345X03/wf-form4_147683560738887.xml,FORM 4
422,0001628280-16-020121,2016-10-18,2016-10-14,2016-10-18T20:06:24.000Z,,4,,,,7824,0,0,xslF345X03/wf-form4_147683557180521.xml,FORM 4
423,0001628280-16-020120,2016-10-18,2016-10-14,2016-10-18T20:05:16.000Z,,4,,,,7791,0,0,xslF345X03/wf-form4_147683550360347.xml,FORM 4
424,0001628280-16-020119,2016-10-18,2016-10-14,2016-10-18T20:04:15.000Z,,4,,,,13315,0,0,xslF345X03/wf-form4_147683544277276.xml,FORM 4
425,0001628280-16-020118,2016-10-18,2016-10-14,2016-10-18T20:03:38.000Z,,4,,,,18146,0,0,xslF345X03/wf-form4_147683540573594.xml,FORM 4
426,0001628280-16-020117,2016-10-18,2016-10-14,2016-10-18T20:02:47.000Z,,4,,,,7788,0,0,xslF345X03/wf-form4_147683535525169.xml,FORM 4
427,0001628280-16-020116,2016-10-18,2016-10-14,2016-10-18T20:02:09.000Z,,4,,,,7783,0,0,xslF345X03/wf-form4_147683531628153.xml,FORM 4
428,0001628280-16-020115,2016-10-18,2016-10-14,2016-10-18T20:01:29.000Z,,4,,,,7795,0,0,xslF345X03/wf-form4_147683527630432.xml,FORM 4
429,0001628280-16-019941,2016-10-04,2016-10-01,2016-10-04T18:36:04.000Z,,4,,,,12682,0,0,xslF345X03/wf-form4_147562055033231.xml,FORM 4
430,0001628280-16-019940,2016-10-04,2016-10-01,2016-10-04T18:35:17.000Z,,4,,,,10705,0,0,xslF345X03/wf-form4_147562050387961.xml,FORM 4
431,0001628280-16-019939,2016-10-04,2016-10-01,2016-10-04T18:34:04.000Z,,4,,,,14272,0,0,xslF345X03/wf-form4_147562043093453.xml,FORM 4
432,0001628280-16-019938,2016-10-04,2016-10-01,2016-10-04T18:33:19.000Z,,4,,,,10700,0,0,xslF345X03/wf-form4_147562038659364.xml,FORM 4
433,0001628280-16-019937,2016-10-04,2016-10-01,2016-10-04T18:32:39.000Z,,4,,,,10690,0,0,xslF345X03/wf-form4_147562034516967.xml,FORM 4
434,0001628280-16-019936,2016-10-04,2016-10-01,2016-10-04T18:31:42.000Z,,4,,,,10698,0,0,xslF345X03/wf-form4_147562028803402.xml,FORM 4
435,0001628280-16-019935,2016-10-04,2016-10-01,2016-10-04T18:30:52.000Z,,4,,,,13941,0,0,xslF345X03/wf-form4_147562023937228.xml,FORM 4
436,0001628280-16-019757,2016-09-23,2016-09-21,2016-09-23T18:35:58.000Z,,4,,,,6980,0,0,xslF345X03/wf-form4_147467014510458.xml,FORM 4
437,0001628280-16-019756,2016-09-23,2016-09-21,2016-09-23T18:33:57.000Z,,4,,,,11779,0,0,xslF345X03/wf-form4_147467002403491.xml,FORM 4
438,0001628280-16-019444,2016-09-07,2016-09-04,2016-09-07T18:32:02.000Z,,4,,,,8621,0,0,xslF345X03/wf-form4_147328750918915.xml,FORM 4
439,0001628280-16-019324,2016-08-31,2016-08-29,2016-08-31T18:31:42.000Z,,4,,,,11009,0,0,xslF345X03/wf-form4_147268268998840.xml,FORM 4
440,0001628280-16-019323,2016-08-31,2016-08-30,2016-08-31T18:30:38.000Z,,4,,,,5104,0,0,xslF345X03/wf-form4_147268262634629.xml,FORM 4
441,0001628280-16-019269,2016-08-26,2016-08-24,2016-08-26T16:53:09.000Z,,4,,,,19338,0,0,xslF345X03/wf-form4_147224477588332.xml,FORM 4
442,0001628280-16-019247,2016-08-25,2016-08-23,2016-08-25T18:34:42.000Z,,4,,,,8553,0,0,xslF345X03/wf-form4_147216446949087.xml,FORM 4
443,0001628280-16-019246,2016-08-25,2016-08-23,2016-08-25T18:33:08.000Z,,4,,,,8550,0,0,xslF345X03/wf-form4_147216426172341.xml,FORM 4
444,0001628280-16-019152,2016-08-18,2016-08-16,2016-08-18T18:33:46.000Z,,4,,,,4919,0,0,xslF345X03/wf-form4_147155961339791.xml,FORM 4
445,0001628280-16-019151,2016-08-18,2016-08-17,2016-08-18T18:32:51.000Z,,4,,,,4910,0,0,xslF345X03/wf-form4_147155955918611.xml,FORM 4
446,0001628280-16-019150,2016-08-18,2016-08-17,2016-08-18T18:31:30.000Z,,4,,,,5254,0,0,xslF345X03/wf-form4_147155947423717.xml,FORM 4
447,0001628280-16-019109,2016-08-17,2016-08-15,2016-08-17T18:31:29.000Z,,4,,,,8708,0,0,xslF345X03/wf-form4_147147307599444.xml,FORM 4
448,0001628280-16-019099,2016-08-16,2016-08-12,2016-08-16T18:31:35.000Z,,4,,,,8822,0,0,xslF345X03/wf-form4_147138668237470.xml,FORM 4
449,0001628280-16-018921,2016-08-11,2016-08-09,2016-08-11T18:31:38.000Z,,4,,,,9020,0,0,xslF345X03/wf-form4_147095468544061.xml,FORM 4
450,0001628280-16-018832,2016-08-09,2016-08-05,2016-08-09T18:31:10.000Z,,4,,,,6383,0,0,xslF345X03/wf-form4_147078185707166.xml,FORM 4
451,0001628280-16-018636,2016-08-05,2016-08-02,2016-08-05T18:32:27.000Z,,4,,,,5347,0,0,xslF345X03/wf-form4_147043633400483.xml,FORM 4
452,0001193125-16-672044,2016-08-04,2016-07-28,2016-08-04T17:26:33.000Z,34,8-K,001-36743,161808515,"8.01,9.01",447294,0,0,d234980d8k.htm,FORM 8-K
453,0001193125-16-664603,2016-07-29,,2016-07-29T16:11:20.000Z,33,424B2,333-210983,161794258,,475646,0,0,d219391d424b2.htm,FILED PURSUANT TO RULE 424B2
454,0001193125-16-662761,2016-07-29,,2016-07-28T19:15:32.000Z,34,FWP,333-210983,161791548,,44742,0,0,d234184dfwp.htm,FWP
455,0001193125-16-661201,2016-07-28,,2016-07-28T08:17:56.000Z,33,424B2,333-210983,161788444,,453352,0,0,d219391d424b2.htm,FILED PURSUANT TO RULE 424B2
456,0001628280-16-017809,2016-07-27,2016-06-25,2016-07-27T16:32:36.000Z,34,10-Q,001-36743,161787078,,9797615,1,0,a10-qq320166252016.htm,10-Q
457,0001628280-16-017762,2016-07-26,2016-07-26,2016-07-26T16:30:55.000Z,34,8-K,001-36743,161784653,"2.02,9.01",424534,0,0,a8-kq320166252016.htm,8-K
458,0001628280-16-017677,2016-07-20,2016-07-18,2016-07-20T18:32:04.000Z,,4,,,,6033,0,0,xslF345X03/wf-form4_146905391104938.xml,FORM 4
459,0001193125-16-628957,2016-06-22,2016-06-07,2016-06-22T16:31:03.000Z,34,8-K,001-36743,161726856,"8.01,9.01",242745,0,0,d209946d8k.htm,FORM 8-K
460,0001209191-16-128301,2016-06-16,2016-06-14,2016-06-16T18:30:33.000Z,,4,,,,9140,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
461,0001193125-16-616649,2016-06-08,,2016-06-08T16:11:42.000Z,33,424B2,333-210983,161703684,,438434,0,0,d170613d424b2.htm,FILED PURSUANT TO RULE 424B2
462,0001193125-16-615362,2016-06-07,,2016-06-07T16:42:50.000Z,34,FWP,333-210983,161701731,,13100,0,0,d205760dfwp.htm,FWP
463,0001193125-16-614374,2016-06-07,,2016-06-06T21:21:32.000Z,33,424B2,333-210983,161699852,,436621,0,0,d170613d424b2.htm,FILED PURSUANT TO RULE 424B2
464,0001209191-16-125278,2016-06-02,2016-05-31,2016-06-02T18:30:41.000Z,,4,,,,4710,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
465,0001209191-16-124774,2016-06-01,2016-05-27,2016-06-01T18:32:17.000Z,,4,,,,5178,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
466,0001209191-16-124773,2016-06-01,2016-05-29,2016-06-01T18:31:35.000Z,,4,,,,9072,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
467,0001209191-16-124771,2016-06-01,2016-05-27,2016-06-01T18:30:49.000Z,,4,,,,4617,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
468,0001209191-16-124457,2016-05-31,2016-05-26,2016-05-31T18:33:48.000Z,,4,,,,4973,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
469,0001209191-16-124453,2016-05-31,2016-05-26,2016-05-31T18:32:42.000Z,,4,,,,6276,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
470,0001209191-16-123335,2016-05-25,2016-05-23,2016-05-25T18:32:30.000Z,,4,,,,4992,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
471,0001209191-16-117168,2016-05-03,2016-05-01,2016-05-03T20:01:19.000Z,,4,,,,13688,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
472,0001193125-16-564177,2016-04-28,,2016-04-28T17:11:10.000Z,33,S-3ASR,333-210983,161601070,,332586,0,0,d148887ds3asr.htm,S-3ASR
473,0001193125-16-559625,2016-04-27,2016-03-26,2016-04-27T16:32:53.000Z,34,10-Q,001-36743,161595799,,6290156,1,0,d165350d10q.htm,10-Q
474,0001193125-16-556520,2016-04-26,2016-04-26,2016-04-26T16:31:09.000Z,34,8-K,001-36743,161592349,"2.02,9.01",162435,1,0,d325078d8k.htm,FORM 8-K
475,0001209191-16-114938,2016-04-19,2016-04-15,2016-04-19T18:31:45.000Z,,4,,,,16875,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
476,0001209191-16-114936,2016-04-19,2016-04-15,2016-04-19T18:31:12.000Z,,4,,,,9058,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
477,0001209191-16-114935,2016-04-19,2016-04-15,2016-04-19T18:30:39.000Z,,4,,,,16593,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
478,0001209191-16-113272,2016-04-05,2016-04-01,2016-04-05T18:33:38.000Z,,4,,,,11229,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
479,0001209191-16-113271,2016-04-05,2016-04-01,2016-04-05T18:33:07.000Z,,4,,,,9074,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
480,0001209191-16-113269,2016-04-05,2016-04-01,2016-04-05T18:32:37.000Z,,4,,,,15094,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
481,0001209191-16-113268,2016-04-05,2016-04-01,2016-04-05T18:32:06.000Z,,4,,,,9067,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
482,0001209191-16-113266,2016-04-05,2016-04-01,2016-04-05T18:31:36.000Z,,4,,,,9094,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
483,0001209191-16-113265,2016-04-05,2016-04-01,2016-04-05T18:31:02.000Z,,4,,,,12784,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
484,0001209191-16-111818,2016-04-01,2016-03-30,2016-04-01T18:33:33.000Z,,4,,,,5621,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
485,0001193125-16-523320,2016-03-30,,2016-03-30T13:31:07.000Z,34,SD,001-36743,161538428,,336544,0,0,d168894dsd.htm,FORM SD
486,0001193125-16-516891,2016-03-24,2016-03-17,2016-03-24T16:13:11.000Z,34,8-K,001-36743,161527208,"8.01,9.01",324325,0,0,d161597d8k.htm,FORM 8-K
487,0001209191-16-110273,2016-03-23,2016-03-21,2016-03-23T18:31:48.000Z,,4,,,,11476,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
488,0001209191-16-110272,2016-03-23,2016-03-21,2016-03-23T18:31:16.000Z,,4,,,,9318,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
